#       SHIFT                | Serpent              | Serpent, myAMPX      | SHIFT, myAMPX        | Serpent, noSab       | Serpent, noSab, Pu239 for U5 | Serpent, noSab, Th232 for U8 | SHIFT, noSab, Th232 for U8 | SHIFT, detailed AMPX | KENO                 |
#           keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)  
 300.0 1.08748300 0.00017400  1.08539000 0.00007055  1.21920000 0.00014630  1.08753500 0.00018900  1.08783000 0.00006962  1.27342000 0.00007895  0.67858200 0.00003596  0.68093000 0.00010100      NaN         NaN    1.08627000 0.00012000  
 310.0 1.08656700 0.00018000  1.08502000 0.00007270  1.21926000 0.00015850  1.08689300 0.00019600  1.08741000 0.00006959  1.27425000 0.00007646  0.67832400 0.00005562  0.68067300 0.00010400      NaN         NaN    1.08559000 0.00013000  
 320.0 1.08618200 0.00016700  1.08482000 0.00006834  1.21862000 0.00014623  1.08659500 0.00018200  1.08724000 0.00006632  1.27500000 0.00008160  0.67815100 0.00003662  0.68053900 0.00011300      NaN         NaN    1.08516000 0.00012000  
 330.0 1.08639400 0.00016700  1.08448000 0.00006832  1.21863000 0.00014624  1.08587400 0.00018400  1.08696000 0.00006848  1.27586000 0.00008548  0.67794400 0.00003525  0.68019900 0.00010300      NaN         NaN    1.08492000 0.00013000  
 340.0 1.08533100 0.00018100  1.08405000 0.00006830  1.21867000 0.00015843  1.08530800 0.00018000  1.08655000 0.00006954  1.27681000 0.00008172  0.67763700 0.00003659  0.67994600 0.00011700      NaN         NaN    1.08454000 0.00014000  
 350.0 1.08497400 0.00018200  1.08379000 0.00006936  1.21811000 0.00014617  1.08512700 0.00017100  1.08625000 0.00006735  1.27757000 0.00007921  0.67742900 0.00003997  0.67950400 0.00011100      NaN         NaN    1.08421000 0.00014000  
 360.0 1.08500200 0.00016900  1.08339000 0.00007042  1.21784000 0.00014614  1.08469300 0.00016700  1.08588000 0.00006841  1.27841000 0.00008054  0.67725400 0.00003657  0.67949500 0.00010900      NaN         NaN    1.08385000 0.00012000  
 370.0 1.08474300 0.00017500  1.08298000 0.00007364  1.21759000 0.00015829  1.08458900 0.00017800  1.08544000 0.00007272  1.27925000 0.00008315  0.67697500 0.00003520  0.67925500 0.00010500      NaN         NaN    1.08325000 0.00013000  
 380.0 1.08398600 0.00017400  1.08262000 0.00007037  1.21735000 0.00014608  1.08378600 0.00019000  1.08515000 0.00006945  1.28017000 0.00007809  0.67674800 0.00003587  0.67869600 0.00010000      NaN         NaN    1.08310000 0.00013000  
 390.0 1.08360400 0.00018400  1.08236000 0.00006927  1.21712000 0.00015823  1.08339300 0.00019600  1.08482000 0.00007051  1.28113000 0.00008199  0.67652800 0.00003518  0.67866200 0.00011400      NaN         NaN    1.08275000 0.00011000  
 400.0 1.08305300 0.00016600  1.08190000 0.00006924  1.21702000 0.00014604  1.08303900 0.00016100  1.08431000 0.00007156  1.28186000 0.00008460  0.67640400 0.00003585  0.67839000 0.00010200      NaN         NaN    1.08232000 0.00013000  
 410.0 1.08249400 0.00016700  1.08164000 0.00006922  1.21627000 0.00014595  1.08269000 0.00018700  1.08404000 0.00007263  1.28269000 0.00008081  0.67617800 0.00003584  0.67838200 0.00009900      NaN         NaN    1.08188000 0.00012000  
 420.0 1.08229900 0.00017000  1.08117000 0.00006811  1.21614000 0.00014594  1.08235500 0.00016900  1.08358000 0.00006935  1.28377000 0.00008088  0.67597300 0.00003515  0.67823600 0.00010700      NaN         NaN    1.08145000 0.00012000  
 430.0 1.08214000 0.00016700  1.08087000 0.00007242  1.21604000 0.00015809  1.08176800 0.00016100  1.08321000 0.00007149  1.28463000 0.00008093  0.67581600 0.00003514  0.67807100 0.00010200      NaN         NaN    1.08109000 0.00013000  
 440.0 1.08142700 0.00016600  1.08054000 0.00006375  1.21571000 0.00014589  1.08161800 0.00016500  1.08289000 0.00007147  1.28561000 0.00008099  0.67566100 0.00003716  0.67765300 0.00009900      NaN         NaN    1.08094000 0.00013000  
 450.0 1.08128200 0.00018100  1.08018000 0.00006481  1.21542000 0.00013370  1.08105000 0.00018600  1.08250000 0.00007036  1.28641000 0.00008876  0.67550800 0.00003648  0.67769200 0.00010600      NaN         NaN    1.08055000 0.00014000  
 460.0 1.08100100 0.00017700  1.07975000 0.00006910  1.21527000 0.00014583  1.08121800 0.00020200  1.08217000 0.00006926  1.28729000 0.00007724  0.67538700 0.00003850  0.67761900 0.00009800      NaN         NaN    1.08023000 0.00012000  
 470.0 1.08046600 0.00017700  1.07949000 0.00007341  1.21519000 0.00014582  1.08034200 0.00016600  1.08168000 0.00007031  1.28830000 0.00008374  0.67526400 0.00003714  0.67739900 0.00010800      NaN         NaN    1.08003000 0.00014000  
 480.0 1.08013200 0.00017500  1.07904000 0.00006798  1.21448000 0.00014574  1.08020600 0.00018400  1.08135000 0.00007029  1.28936000 0.00008252  0.67516200 0.00003781  0.67720200 0.00011300      NaN         NaN    1.07945000 0.00012000  
 490.0 1.07963000 0.00016900  1.07888000 0.00006689  1.21456000 0.00015789  1.07990600 0.00016600  1.08091000 0.00006377  1.29033000 0.00008645  0.67503300 0.00003578  0.67702300 0.00010900      NaN         NaN    1.07949000 0.00012000  
 500.0 1.07986900 0.00018500  1.07830000 0.00006685  1.21394000 0.00014567  1.07973200 0.00018000  1.08056000 0.00007132  1.29121000 0.00008393  0.67498900 0.00003780  0.67720000 0.00013700      NaN         NaN    1.07935000 0.00012000  
 510.0 1.07937400 0.00017800  1.07814000 0.00006792  1.21367000 0.00014564  1.07944600 0.00016200  1.08022000 0.00006913  1.29228000 0.00008271  0.67485900 0.00003644  0.67693300 0.00009700      NaN         NaN    1.07862000 0.00012000  
 520.0 1.07918800 0.00018000  1.07778000 0.00006898  1.21351000 0.00014562  1.07934400 0.00019300  1.07986000 0.00007019  1.29308000 0.00007629  0.67482400 0.00003577  0.67664700 0.00010200      NaN         NaN    1.07836000 0.00012000  
